School Name,Principal Name,Other Contacts,Email,Phone Number,Website,State/City
Abhishek International School,Mrs. Vidhyut Parmeshwar Sahare,,abhishekinternational.cbse@gmail.com,- 8446713030-,http://abhishekinternational.org,"PUNE, Maharashtra"
Abhyaas International School,Mr Arun Jain,,abhyaasinternational@gmail.com,- 7509264932-,https://www.abhyaasinternational.com/,"UJJAIN, Madhya Pradesh"
Abhyasa English School,Kanchanmala Patil,,abhyasacbse@gmail.com,0721- 0721-2660206--,http://www.abhyasa.ac.in,"AMRAVATI, Maharashtra"
Academic Heights Primary School,Mrs Bhavna P Rathod,,deepakrathod8909@gmail.com,- 953788929-,http://bachpanschooldahod.com,"DAHOD, Gujarat"
Academic Heights Public School,Parul Rayappan,,academicheights@hotmail.com,2692- 285534-,http://www.ahpsajr.wordpress.com,"ANAND, Gujarat"
"Academic Heights Public School, Katni",Mr Ajay Mishra,,mg22303@gmail.com,- 07622407206-,www.academicheights.in,"KATNI, Madhya Pradesh"
"Academic Heights Public School, Timarni",Love Leena Singh,,51024@cbseshiksha.in,- 9591785974-,,"HARDA, Madhya Pradesh"
Academic High & Junior College,Mrs Namita Vinayak Gavade,,rspawarpratishthan@gmail.com,- 0236223233-,www.academichigh.com,"SANGLI, Maharashtra"
Ace Academy,Mr Patil Anil Bhausaheb,,aceacademyabd@gmail.com,0240- 2480204-,http://www.aceacademy.in,"AURANGABAD, Maharashtra"
Acharya Shriram Vidyalaya,Rizwan Hussain,,asv.nwg@live.com,91- 9425416142-,,"CHHATARPUR, Madhya Pradesh"
Acharya Vidyasagar Public School,Tanya Sharma,,avpskhaniyadhana@gmail.com,- 07909472032-,www.avpsschool.com,"SHIVPURI, Madhya Pradesh"
Acharyashri Vidyasagar Public School,Santosh Kumar Rajak,,avpssssbanda@gmail.com,- 07583-,www.avpsglobal.com,"SAGAR, Madhya Pradesh"
Achievers Heights International School,Mr Sumeet Agrawal,,ahis_shahada@rediffmail.com,- 02565227600-,,"NANDURBAR, Maharashtra"
Adani Public School,Mr Sanjay Mehta,,adavschool@gmail.com,2838- 287260-,http://www.adanidavschool,"KUTCH, Gujarat"
Adani Vidya Mandir,Dr Shilpa Indoria,,admin.avma@adanischools.ac.in,079- 25557725-,http://www.adanividyamandir.org,"AHMEDABAD, Gujarat"
Adarsh Academy,Mr Nitin Upadhyay,,sandhya01061965@gmail.com,7291- 224510-,www.adarshdhamnod.com,"DHAR, Madhya Pradesh"
Adarsh Bharat Public School,Chaitnya Udelal Ambule,,abpshiwara@gmail.com,- 9422975744-,https://abpshiwara.com,"GONDIA, Maharashtra"
Adarsh Public School,,,,,,Delhi
Adarsh Public School.Vita,Dr Rajesh Rajanikant Ohol,,jannat11282@gmail.com,2347- 273501-,,"SANGLI, Maharashtra"
Adarsh Sanskar Vidyalaya Cbse,Manasi Yogesh Deshpande,,adarshcbse22@gmail.com,000- 7620264605-,www.adarshsanskar.org,"NAGPUR, Maharashtra"
"Adesh University,",Gurpreet singh Gill,,,9501002012,,Bathinda
Aditiya Birla Senior Secondary School,Shikha Manoj Saxena,,abss.school@adityabirla.com,7366- 255173-,,"UJJAIN, Madhya Pradesh"
Aditya Birla Public School,Mrs Indumati Chakravarty,,gyanesh.mathur@adityabirla.com,2794- 283042-,www.adityabirlaschools.co,"AMRELI, Gujarat"
Aditya Convent School,Mrs Divya Bajpai,,divyamit.bajpai@gmail.com,0761- 2342323-,,"JABALPUR, Madhya Pradesh"
Aditya English Medium School,Ms Deepali Shirgave,,adityahorizonnschool@gmail.com,- 7020302743-,adityaschool.co.in,"PUNE, Maharashtra"
Aditya Public School,Pankaj Parwal Ic,,adityapublicschoolmandsaur1@gmail.com,7422- 244884-,,"MANDSAUR, Madhya Pradesh"
Aditya World School,Mrs Mitali Roy,,principal@adityaworldschool.com,- 07514079799-,www.adityaworldschool.com,"GWALIOR, Madhya Pradesh"
Adroit progessive school,,,,,,Dehradun
Adv.Lalita Patil International School,Chaudhari Vikas Gulab,,lalitapatilschool@gmail.com,2587- 224488-,www.lalitapatilischool.com,"JALGAON, Maharashtra"
Advaita School Of Excellence,Mr Umakant Baral,,principal.advaita@gmail.com,- 02452232221-,http://www.advaitaschool.com,"PARBHANI, Maharashtra"
Advanced Academy,Usha Kiran Tomar,,advancedindore@gmail.com,0731- 7415666676- 2309168,http://advancedacademyindore.com,"INDORE, Madhya Pradesh"
Advanced Kids Academy,Mr Alex M K,,advancedkidsacademy@gmail.com,7370- 7440663659-,http://www.advancedkidsacademy.edu.in/,"RAJGARH, Madhya Pradesh"
Aga Khan School,Ms Luckhvinder Arora,,info.aksm@akesi.org,- 02838222583-,https://www.agakhanschools.org/India/AKSM/Index,"KUTCH, Gujarat"
Agarpara Swami Vivekananda Academy,,,,,,Kolkata
Agarwal International Public School,Rajeev Yadav,,agarwalips@rediffmail.com,7592- 07592243700--,http://www.agarwalinternationalvidisha.co.in,"VIDISHA, Madhya Pradesh"
Agarwal Public School,Ms Nilopher Jehan,,info@apsindore.com,731- 4212666- 592779,,"INDORE, Madhya Pradesh"
Agarwal Vidya Vihar,Mrs Chhavi Ravi,,director@agarwalvidyavihar.com,0261- 2914400- 2257496,www.agarwalvidyavihar.com,"SURAT, Gujarat"
Agp Public School,Ms Prerana Sudam Kolhe,,agpschool@gmail.com,0240- 6410152-,http://www.agppublicschool.com,"AURANGABAD, Maharashtra"
Agra Public School,,,,,,Agra
Agragami Convent School,Sr Jessy Joseph,,vidyajoseph@rediffmail.com,7152- 250181-,http://www.agragami.org,"WARDHA, Maharashtra"
Agrasen Vidya Mandir,Mr Subhash R Dhawan,,subhash.dhawan05@gmail.com,0240- 6454159-,http://www.xyz.com,"AURANGABAD, Maharashtra"
Agrawal Academy,Ajay Shanker Sharma,,ajayshanker.sharma@yahoo.com,0000- 8349545340-,http://www.agarwalacademy.com,"PANNA, Madhya Pradesh"
Agrawal Junior College,Mrs.Sunita Ahlawat,,pratap_public_school@hotmail.com,009712- 01745274272-,http://www.pratappublicschool.com,"DEWAS, Madhya Pradesh"
Agrawal Public School,Dwarika Prasad Baser,,51149@cbseshiksha.in,- 9993539859-,www.apspalsood.com,"BADWANI, Madhya Pradesh"
Ahinsa International School,Mrs Deepika Sharma,,principal.ahinsa.ndb@gmail.com,- 02564297355-,www.nandurbar.ahinsaschool.in,"NANDURBAR, Maharashtra"
Ahlcon Heights International School,Tripti,,ahlconsagar@gmail.com,7582- 07582289301-,http://www.ahlconsagar.com,"SAGAR, Madhya Pradesh"
Ahlcon International,,,,,,Delhi
Ahlcon International School,Dr. Sanjay Yadav,,principal@ahlconinternational.in,9560594007,,delhi
Ahlcon Public School,Dr. Deepak Raj Singh Bisht,,apsmayurvihar1@gmail.com,9318311583,,delhi
Ahmedabad Public School International,Abha Jha Bhatia,,sulunair@gmail.com,079- 23969316-,,"GANDHINAGAR, Gujarat"
Aim Blooming Cradles-An American Pre School Chain,,,aimbloomingcradles@gmail.com,9910855311,,Play Schools
Aim Win Academy,Swati Mishra,,aimwinacademy@hotmail.com,- 07314932740-,http://www.aimwinacademy.com,"INDORE, Madhya Pradesh"
Air Force Bal Bharati School,Ms. Sunita Gupta,,afbbschool@gmail.com,9810069875,,delhi
Air Force Golden Jubilee,Ms.Poonam S Rampal,,principal.afgji@gmail.com,9990770969,,delhi
Air Force School,Mrs Shalini Kaistha,,airforceschoolbhuj@gmail.com,02832- 02832244176-,www.airforceschoolbhuj.org,"KUTCH, Gujarat"
Air Force School Gandhinagar,Seema Tiwari,,afschoolgandhinagar@gmail.com,- 07923243465-,https://www.afschoolgnr.com,"GANDHINAGAR, Gujarat"
Air Force School Naliya,Shivani Johar,,afschoolnaliya@gmail.com,- 02831278288-,https://www.airforceschoolnaliya.edu.in,"KUTCH, Gujarat"
Airport School,Shalini Dhanwani,,info@airportschoolahm.in,079- 22864175-,,"AHMEDABAD, Gujarat"
Airson English School,Sunita Santosh Belwatkar,,airsonschool1613@gmail.com,- 8879775959-,http://www.airsonenglishschool.com,"THANE, Maharashtra"
aisa pacific school,Anitha VP Asia Pacific School,,,94484 75751,,Bangalore
Ajanta Learning Hub English Medium School,Vidya Sandu Gawali,,alearninghub@yahoo.in,- 09049992764-,,"AURANGABAD, Maharashtra"
Ajanta public school,vaibhav kapoor,,,9811643485,,Gurugram
Ajay Satya Prakash Public School,Mahesh More,,davidsmita@gmail.com,0761- 2350211-,,"JABALPUR, Madhya Pradesh"
AJIT KARAM SINGH INTERNATIONAL PUBLIC SCHOOL,PAMILA KAUR OR JASMINE KALRA,,aksips45@gmail.com,9501018797,,Chandigarh
Ajmera Mukesh Nemichand Bhai English Medium School,Dr Ms Shyamali Chatterjee,,dr.shyamali.chatterjee@gmail.com,0731- 2557275-,,"INDORE, Madhya Pradesh"
Akshar International School,Dilip Singh,,principalaisbhiloda@gmail.com,2771- 233477-,http://www.rgbec.org,"SABARKANTHA/HIMMATNAGAR, Gujarat"
Akshara International School,Mrs Sonali Balwatkar,,admin@akshara.in,020- 64102958-,http://www.akshara.in,"PUNE, Maharashtra"
Akshat International School,Mr V S Job,,akshatinternationalujjain@gmail.com,0734- 2525909-,,"UJJAIN, Madhya Pradesh"
Akshay Academy,Mr Ganesh K Prajapati,,akshayacademyind@rediffmail.com,- 07312424222-,http://www.akshayacademyindore.com,"INDORE, Madhya Pradesh"
"AKSIPS 123, Gr. mohali",anjali singh,,aksips123@gmail.com,9779860306,,Chandigarh
AKSIPS 125 KHARAR,jagjit sekhon,,aksips125@gmail.com,,,Chandigarh
AKSIPS 41,Ritu Bali,,aksips41@gmail.com,9855099479,,Chandigarh
AKSIPS 65 MOHALI,rajminder kaur jaitala,,aksips65@gmail.com,9878550093,,Chandigarh
Al Barkaat Malik Muhammad Islam English School,Shamina Irfan Shaikh,,albarkaatschool@Yahoo.com,022- 25030069-,http://www.albarkaat.in,"MUMBAI, Maharashtra"
Al-Irfan School,Mohammad Azharuddin,,azhar51010@gmail.com,2437- 241972-,,"AURANGABAD, Maharashtra"
Alard Public School,Mrs Jyotsna Mishra,,apsprincipal1@gmail.com,020- 020-66523792--,,"PUNE, Maharashtra"
Alchemy School,Shaji T Mathews,,info@alchemyschool.org,0- 9510932531-,,"SURAT, Gujarat"
All saints college,,,,,,Nainital
All Saints High School,Dr Smt Poonam S Pandey,,nairvu@rediffmail.com,091- 9028138222- 283077,http://www.shilpakar.com,"THANE, Maharashtra"
All Saints School,P N Dubey,,kzbia@yahoo.co.in,0755- 07552528644-,http://www.allsaintscbse.in,"BHOPAL, Madhya Pradesh"
ALL SAINTS SCHOOL 282001 (2131023),,,,,,Agra
Allegiance Academy,Abhishek Srivastava,,katareyogendra02@gmail.com,7297- 244601-,,"DHAR, Madhya Pradesh"
ALLIANCE WORLD SCHOOL,sanjeev malhotra - director,,contact@allianceworldschool.in,093112 90846,,Noida
Alok International School,Yamini Patankar,,aisujjain01@gmail.com,- 07344050823-,http://www.aisujjain.in,"UJJAIN, Madhya Pradesh"
Alpha International School,Sonia Mishra,,alphainternationalshamgarh@gmail.com,91- 7773835000--,http://www.alphainternationalshamgarh.com,"MANDSAUR, Madhya Pradesh"
Alphonsa High School,Sr Rosanto Rosy Antony,,sr.rosanto@gmail.com,0715- 287810-,,"WARDHA, Maharashtra"
Alpine Academy,Mrs Basanti Bisht,,basantibisht05@gamil.com,0731- 4074211-,,"INDORE, Madhya Pradesh"
alpine convent,,,,9810626064,,Gurugram
Alpine Convent School,,,,,,Gurugram
Altius Fortius High School,Roomana Malek,,euroschoolnadiad@gmail.com,0268- 9427937777-,https://www.euroschoolnadiad.com,"KHEDA, Gujarat"
Alwar public school,Mr.Arjun joshi,,eicheraps@gmail.com,8875011539,,rajasthan
AM Classes,,Ankit Malhotra,,8076778122,,Delhi
Amanora School,Meera Nair,,principal@amanoraschool.edu.in,020- 02067279010-,http://www.amanoraschool.edu.in,"PUNE, Maharashtra"
Amar Public School,Rakendra Singh Chauhan,,50042@cbseshiksha.in,0751- 4041208-,http:/www.pdpschool.com,"GWALIOR, Madhya Pradesh"
Amarchand Singhvi International School,Mr Mridul Varma,,singhvischool@gmail.com,2836- 257500-,,"KUTCH, Gujarat"
Amatir Kanya Gurukul,Mrs Shalini Singh,,info@kanyagurukul.com,9306751011,,haryana
Ambe Public School,Sheetal Patel,,ambepublicschool@gmail.com,0265- 02652714277--,http://www.ambepublicschool,"VADODARA (BARODA), Gujarat"
Ambe School,Mr Shyambabu Shukla,,dhirbright@gmail.com,0265- 2642264-,http://www.ambevidyalaya.org,"VADODARA (BARODA), Gujarat"
Amber International School,Shilpa G Jejurkar,,principal.amberschool@gmail.com,- 9869663131-,http://dsvcbseschool.com,"THANE, Maharashtra"
Ambience Public School,"HImani Asija - Principal Shalini Prasad - VP , nitika Chaudary - Headmistress",,info@ambiencepublicschool.com,,,Delhi
"Ambience Public School,",Mrs Jeanie N. Aibara,,info@ambiencepublicschool.com,,,delhi
Ambuja Vidya Niketan,Prashant Sharma,,avnambujanagar@gmail.com,2795- 232372-3631265- 3631265,http://www.ambujacementschool.org,"JUNAGADH, Gujarat"
american embassy school,,,,7838653021,,Gurugram
American Montessori Public School,roopali Kudesia,,info@americanpublicschool.com,8130947707,,Gurugram
American School Of Baroda,Manoj Sukumaran,,info@asobaroda.org,0265- 6545155-,http://www.asobaroda.g,"VADODARA (BARODA), Gujarat"
Ami Shishu Mandir,Mrs Karuna Khare,,amishishumandir@gmail.com,- 07512456320-,www.amishishumandir.com,"GWALIOR, Madhya Pradesh"
Amicus International School,Dr Hema Abhiroop,,principal.amicus@gmail.com,- 9825028960-,aisvadodara.org,"VADODARA (BARODA), Gujarat"
Amiown The Caring Pre-School,,,gurgaon@amiown.amity.edu,+91- 9971133582,,Play Schools
Amity Global School,Arti Gupta,,admissions@ags.amity.edu,918448481410,,Gurugram
Amity International,,"Anubha(maths), HOD",amity@aisn.amity.edu,120-4399000,,Noida
Amity International School,Shalin John,Anannta,shalinjohn77@yahoo.co.in,8447889293,http://aisbharuch.org,"BHARUCH, Gujarat"
AMITY INTERNATIONAL SCHOOL 122001 (530460),Dr Anshu Arora,,,9971728888,,"Gurugram, Sec 17"
Amity School,Dr Anshu Arora,"Dr. Amita Chauhan, Chaiperson",principal@aisg43.amity.edu,9971728888(P),Principal's Message,"Gurugram, Sec-43(530460)"
Ammar Baugh-E-Nounihal Higher Secondary School,Mr M Husain Saher,,husain2159@gmail.com,0731- 2343602- 2479291,,"INDORE, Madhya Pradesh"
Amrishbhai R Patel School,Nischal Nair,,arpatelschoolcbse@gmail.com,2563- 255900-,,"DHULE, Maharashtra"
Amrit Vidya Pit,Dr A K Tiwari,,avpschool1996@gmail.com,- 9926770125-,www.amritvidyapit.co.in,"SINGHROULI, Madhya Pradesh"
Amrita Vidyalayam,Shital Pankajakshan Nair,,ammasuma@gmail.com,079- 27452009-,http://www.amritapuri.org,"AHMEDABAD, Gujarat"
Amrutvahini International School,Mrs Jaswinder Bhupinder Sethi,,amrutvahiniinternationalschool@gmail.com,2425- 259102-,,"AHMEDNAGAR, Maharashtra"
Amrutwel Global School,Mr Navnath Sahadu Gaikwad,,amrutwelglobalschool2017@gmail.com,- 9226907979-,http://www.amrutwelglobalschool.co.in,"PUNE, Maharashtra"
Amtul's Public school,SUBOOHI RASHID,,nainital@amtul.com,7599111041,,Nainital
Anamay Higher Secondary School,Mr Umashankar Tiwari,,Principal@anamayschool.com,7272- 259258-,,"DEWAS, Madhya Pradesh"
Anand Niketan Bhadaj,Ms Vaishali Parikh,,info.anandinternationalschool01@gmail.com,91- 9737047651-,http://www.anandniketanbhadaj.org/,"GANDHINAGAR, Gujarat"
Anand Niketan Bharuch Campus,Ramjee Nagrajan,,info.anandinternationalschool@gmail.com,- 9737047301-,http://anandniketan.edu.in/,"BHARUCH, Gujarat"
Anand Niketan Eklavya Model Residential School,Vasantkumar Pathak,,anemrskaprada@gmail.com,- 9313056858-,www.anandniketan.edu.in,"VALSAD, Gujarat"
Anand Niketan School,Mrs Babita Bhatia,,bindithomas@gmail.com,2765- 9924100068-,www.anmschool.com,"MEHSANA, Gujarat"
Anand Niketan Sughad,Ms Bitasta Bhattacharya,,ansughadg@gmail.com,0- 9737047555-,WWW.ANANDNIKETANSUGHAD.ORG,"GANDHINAGAR, Gujarat"
Anand Vidya Bharti,M A Khan,,newmake@vsnl.com,020- 32250-,http://www.ksisnashik.com,"RAJGARH, Madhya Pradesh"
Anand Vidya Vihar,Mrs Poornima Menon,,POORNIMA510@YAHOO.CO.IN,0265- 2399541- 311340,anandvidyavihar.net,"VADODARA (BARODA), Gujarat"
Anand Vihar School,Mr Shailesh Zope,,zope.s3003@gmail.com,0755- 2552792-,,"BHOPAL, Madhya Pradesh"
Ananda Global School,Meetika Sharma,,trustee@ananda.ac.in,- 07926821508-,www.ananda.ac.in,"AHMEDABAD, Gujarat"
Anandalaya,Pawan Kumar Sharma,,principalanandalaya@gmail.com,2692- 261069- 20401,http://anandalaya.ac.in,"ANAND, Gujarat"
Anandi Public School,Mrs Mridula Banerjee,,rajabaiinstitution@gmail.com,- 02385214200-,www.anandipublicschool.org,"LATUR, Maharashtra"
Anandsagar Public School,Mr Ajay Vaman Pharande,,principalaspstasgaon@gmail.com,2346- 250164-,,"SANGLI, Maharashtra"
Anant Utsav School,S Antony Raj,,deeptisaransxn20@gmail.com,7480- 205075-,,"RAISEN, Madhya Pradesh"
Ananya Vidyalaya,Mrs Sunanda Shibu,,ananyavidyalaya2013@gmail.com,- 02764(292888)-,http://www.kirc.ac.in,"GANDHINAGAR, Gujarat"
Anekant English Medium School,Mrs Rakhi Mathur,,anekantems@gmail.com,- 02112221305-,http://www.anekantems.org,"PUNE, Maharashtra"
Angel High School,Mrs Khusboo Singh,,angelhighschool.loni@gmail.com,- 02026913722-,http://www.angelhighschoolloni.com,"PUNE, Maharashtra"
Angel Kids International School,Mr Tukaram Mundhe,,AIKINTERNATIONALSCHOOL@GMAIL.COM,- 08920338892-,WWW.AKISCHOOL.ORG,"AURANGABAD, Maharashtra"
Angel Paradise Public School,Mrs Anita Pratap Mulik,,angelparadise2016@gmail.com,- 07546240120-,www.angelparadisepublicschool.com,"GUNA, Madhya Pradesh"
Angel'S Abode Public School,Sandeep Kumar Shrivastava,,angelsabodetikamgarh@hotmail.com,7683- 9993283747-,,"TIKAMGARH, Madhya Pradesh"
Angels Planet School,Mr Sandeep Panat,,sahnibatteries@gmail.com,0733- 8989423802-,http://www.angelsplanet.org,"KHANDWA, Madhya Pradesh"
Angels Public School,Shubhangi Machhindra Taras,,shubhangi.jaid@gmail.com,- 9607739393 -,www.apsjc.co.in,"PUNE, Maharashtra"
Angel’s Villa Preschool,,,admin@angelsvillaschool.com,1244032653,,Play Schools
Anil Jindal World School,Mrs Shubhra Varma,,pzzearparveen2@gmail.com,2482- 645771-,http://www.aniljindalworldschool,"JALNA, Maharashtra"
Anjad Public Higher Secondary School,Mrs Rashmi Trivedi,,mads.hnb@yahoo.com,7284- 251185-,,"BADWANI, Madhya Pradesh"
Ankur School,Himanshu Dodia,,info.ankurschool1@gmail.com,- 07926639666-,http://www.ankurschool.com,"AHMEDABAD, Gujarat"
Annapurna International School Of Scholars,Mr Rameshlal Raju Hatkar,,annapurnaschool123@gmail.com,- 02456221757-,http://annapurnapariwar.com,"HINGOLI, Maharashtra"
Annasaheb Balasaheb Chakote English School,Mrs Amruta Chougule,,rrp2161@gmail.com,- 02322235552-,http://www.abcenglishschool.com,"KOLHAPUR, Maharashtra"
Annie Besant School,Mohit Yadav,,mohit@anniebesant.co.in,0731- 2484034-,,"INDORE, Madhya Pradesh"
ANS Study,,Ashutosh Chaudhary,,6390044445,,
Anshul Vidhya Mandir,Miss Anitha Tk,,anshulvidyamandir18@gmail.com,0- 7747952585-,www.anshulvidhyamandir.com,"JHABUA, Madhya Pradesh"
Anu Public School,Pramod Nair,,anuthandla@gmail.com,7390- 7898957407-,,"JHABUA, Madhya Pradesh"
Anuradha English Medium School,Jaya Arun Nanhai,,jitu.marathe@gmail.com,- 9850055296-,,"BULDHANA, Maharashtra"
Anusuiya School,Ms Ratna Sharma,,anusuiyaschoolprincipal@gmail.com,0731- 7389831777-,www.anusuiyaschool.in,"INDORE, Madhya Pradesh"
Apeeja Valedra,,Ashutosh/Varun,,92898 32023,,Gurugram
Apeejay School,Mrs. Veena Goel,"Jyotsana(Accountancy, Business Studies, Economics), HOD",skool.ss.del@apj.edu,"7303096825(R), 9015086474",https://apeejay.edu/panchsheel/principals-message/,Delhi
Apeejay school international,prurshottam dutt vashsit,,pdvashist@gmail.com,98106 94684,,Noida
"Apeejay School, Saket",Dr. Sujeet Eric Masih,,,,,Delhi
Apeejay Stya University,Aditya Vijay Berlia,,proc@apeejay.edu,9810059702,,New Delhi
Apex Academy,Mrs. Neha Shrivastav,,apexacademy2019@gmail.com,- 7587666598-,WWW.APEXACADEMYSCHOOL.COM,"TIKAMGARH, Madhya Pradesh"
Apex Public School,,Anish,,9650278241,,
"Apex Public School, Burari",,,,,,Delhi
Apollo International School,Rajeshkumar Raja,,ais.tragad@gmail.com,- 9909999921-,www.aisahmedabad.edu.in,"AHMEDABAD, Gujarat"
Apollo Public School,,,,,,Chandigarh
Appasaheb Birnale Public School,Ms Sharada Appasaheb Khot,,principal@abpssangli.edu.in,0233- 2313992- 2313993,http://www.cvtarapur.org,"SANGLI, Maharashtra"
"Apple Blossom School, Sector 46, Gurgaon (Gurugram)",,,info@appleblossom.net.in,+91 124 4274490-91,,Play Schools
Apple Global School,Priyanka Modi,,info@appleglobal.in,1251- 7573001638-,http://www.appleglobal.in,"AHMEDABAD, Gujarat"
Aravali International School,,,,,,Faridabad
Ardee Schools,,"Mrs. Poonam Suri, Chaiperson",,,,
Arguta International School,Mrs Rini Jain Dubey,,amreshdubey02@gmail.com,- 07314935664-,www.argutainternationalschool.com,"INDORE, Madhya Pradesh"
Arihant Public School,Vardhman Kumar Jain,,arihantpublicschool@gmail.com,- 07683242592-,www.cbse.arihantps.com,"TIKAMGARH, Madhya Pradesh"
Arise International School,Mr Jitendra Khairnar,,principal.arise@gmail.com,- 7972609431-,http://www.ariseinternational.in/,"PUNE, Maharashtra"
Army Public School,Sangeeta Patel,Madhu Mrinal Mohan,madhumm1970@gmail.com,9560160730,apsdehuroad.in,"Delhi, Dhaula Kuan(2780003)"
ARMY PUBLIC SCHOOL 110010 (2780006),Neena Singh,,,7665678377,,"Delhi, Shankar Vihar"
Army Public School Dighi,Nirmal Bhataiya,,armyschooldighi@gmail.com,020- 65106915-,,"PUNE, Maharashtra"
Army Public School No.1,Mr Manish Kumar Swami,,mkswami11@gmail.com,0761- 2668543-,,"JABALPUR, Madhya Pradesh"
"Army Public School No.2, Jabalpur",Ms Sheela Pandey,,chadha.krishna@gmail.com,0761- 6996555-,,"JABALPUR, Madhya Pradesh"
"Army Public School,",Ms. Indrani Neogi,,,,,Noida
"Army Public School, Ahmednagar",Nutan Mishra,,apsahmednagar01@gmail.com,0241- 02412323005-,,"AHMEDNAGAR, Maharashtra"
Arni University,Ravi Kant Swami,,registrar@arni.in,9888599102,,Karthgarh
Arohan Academy English School,Mrs Bahaar Bashir Khan,,maheshpisu@gmail.com,2436- 200100-,http://www.arohanacademy.com,"AURANGABAD, Maharashtra"
Arpit International School,Mr Sujit Nayak,,arpitschool@gmail.com,- 02812584688-,,"RAJKOT, Gujarat"
ARS classes,,Abhimanyu,,8299233599,,
Arunachal Public School,Dr Bhuvneshvri Thakre,,aps_seoni@yahoo.in,0769- 223881-,,"SEONI, Madhya Pradesh"
Arunodaya Public School,Mrs Nikita Vinay Kothari,,principal@arunodayaschool.com,022- 25974381-,,"THANE, Maharashtra"
Arvind Indo Public School,Mr Rajendra Mishra,,deepapeter38@gmail.com,7112- 202166-,http://www.aips.com,"NAGPUR, Maharashtra"
"Arvind Indo Public School, Narkhed",Mr Ashutosh Kedarpawar,,narkhedaips@gmail.com,- 9009961447-,www. narkhedaips.co.in,"NAGPUR, Maharashtra"
Arwachin Bharti Bhawan,,,,,,Delhi
